year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,scientificNames
2013,2013-05-22,Faro,Lagoa,Carvoeiro,Salicos,37.1094019995795,-8.44245400004917,Desconhecida,63.0,2013-05-22T14:00,23.3,37,7.6,21.7,0.0,0.0,0.0,0.0,0,1020.3,1012.9,0,0,0,0,0.64,1.82,20.9,26.0,314,316,37.4,26.1,18.3,17.4,15.8,0.165,0.21,0.293,0.285,1,3600.0,939.6,826.3,113.3,916.0,939.6,1204.2,970.0,853.0,117.0,916.0,970.0,1243.1,Magnoliopsida; Vitis vinifera L.; Tracheophyta; Pinus pinea L.
2013,2013-05-27,Faro,Tavira,Tavira (Santa Maria),EN125-Vale Caranguejo,37.2070440000958,-7.66414699978299,Desconhecida,109.0,2013-05-27T14:00,22.3,32,4.9,20.7,0.0,0.0,0.0,0.0,0,1013.2,1000.5,10,9,4,0,0.59,1.83,15.2,20.0,292,296,37.4,26.3,20.3,18.9,16.5,0.143,0.198,0.269,0.259,1,3600.0,864.2,664.9,199.4,736.5,864.2,1202.8,893.0,687.0,206.0,736.5,893.0,1242.9,Magnoliopsida; Tracheophyta; Ceratonia siliqua L.
2013,2013-05-29,Faro,Albufeira,Albufeira,ALBUFEIRA,37.0917269998127,-8.25229199992286,Desconhecida,69.0,2013-05-29T16:00,20.6,44,7.8,16.2,0.0,0.0,0.0,0.0,2,1020.3,1012.2,74,82,0,0,0.44,1.37,29.3,39.1,334,334,58.3,24.8,18.8,17.9,16.0,0.103,0.202,0.282,0.284,1,3600.0,596.7,411.4,185.3,610.7,596.7,896.9,660.0,455.0,205.0,610.7,660.0,992.1,Tracheophyta; Olea europaea L.
2013,2013-05-31,Faro,Albufeira,Albufeira,Rotunda dos Golfinhos,37.0917269998127,-8.25229199992286,Desconhecida,69.0,2013-05-31T16:00,26.5,30,7.8,23.4,0.0,0.0,0.0,0.0,0,1017.3,1009.3,0,0,0,0,0.6,2.41,23.7,31.5,327,329,49.0,30.3,21.1,18.0,16.1,0.096,0.199,0.279,0.284,1,3600.0,676.7,579.0,97.7,856.3,676.7,899.7,748.0,640.0,108.0,856.3,748.0,994.5,Tracheophyta; Olea europaea L.
2013,2013-06-01,Faro,Loulé,Quarteira,Conseguinte,37.0907850000593,-8.10514299975501,Desconhecida,39.0,2013-06-01T13:00,24.1,38,8.9,25.9,0.0,0.0,0.0,0.0,0,1018.7,1014.1,0,0,0,0,0.67,1.86,5.4,7.3,8,9,25.2,30.1,21.6,18.7,16.5,0.112,0.19,0.269,0.291,1,3600.0,1007.6,886.2,121.5,923.3,1007.6,1276.8,1012.0,890.0,122.0,923.3,1012.0,1282.3,Tracheophyta; Pinus pinea L.; Magnoliopsida; Ceratonia siliqua L.; Olea europaea L.; 
2013,2013-06-01,Faro,Lagos,Lagos (São Sebastião),Urb. Quinta de Sto. Antonio,37.1221540000704,-8.68386400000917,Desconhecida,1.0,2013-06-01T15:00,21.9,52,11.6,21.2,0.0,0.0,0.0,0.0,0,1018.4,1018.3,0,0,0,0,0.54,1.27,20.2,26.5,311,316,34.6,29.0,20.8,18.1,16.9,0.124,0.162,0.234,0.223,1,3600.0,840.7,733.4,107.3,896.3,840.7,1088.4,893.0,779.0,114.0,896.3,893.0,1156.2,Magnoliopsida; Tracheophyta
2013,2013-06-03,Faro,Faro,Estoi,Coiro da Burra,37.1025069999695,-7.90347799989912,Desconhecida,76.0,2013-06-03T16:00,24.9,39,10.0,24.2,0.0,0.0,0.0,0.0,0,1013.5,1004.7,0,0,0,0,0.52,1.92,12.5,15.3,229,231,27.7,31.7,23.7,19.5,16.8,0.104,0.184,0.261,0.263,1,3600.0,679.6,581.9,97.7,858.9,679.6,900.6,751.0,643.0,108.0,858.9,751.0,995.2,Tracheophyta; Magnoliopsida; Olea europaea L.
2013,2013-06-03,Faro,Loulé,Tôr,VENDA NOVA,37.2061740001043,-8.02604999966092,Desconhecida,254.0,2013-06-03T13:00,26.0,29,6.7,26.5,0.0,0.0,0.0,0.0,0,1014.7,985.8,0,0,0,0,0.71,2.39,9.1,9.7,187,184,29.2,35.3,24.1,19.8,16.3,0.085,0.17,0.251,0.248,1,3600.0,999.7,879.2,120.5,915.6,999.7,1276.7,1004.0,883.0,121.0,915.6,1004.0,1282.2,Magnoliopsida; Quercus suber L.; Ceratonia siliqua L.; Tracheophyta; Quercus rotundifolia Lam.; Pinus pinaster Aiton; Olea europaea L.; Vitis vinifera L.; Pinus pinea L.; 
2013,2013-06-03,Faro,Albufeira,Ferreiras,PADERNE - BARRADINHA,37.1416399998135,-8.19725699954563,Desconhecida,109.0,2013-06-03T11:00,25.3,35,8.7,25.7,0.0,0.0,0.0,0.0,0,1015.2,1002.6,0,0,0,0,0.61,2.1,8.8,10.4,161,160,29.9,29.3,22.7,19.2,16.3,0.112,0.16,0.239,0.249,1,3600.0,931.9,811.0,121.0,891.7,931.9,1209.2,886.0,771.0,115.0,891.7,886.0,1149.6,Tracheophyta; Magnoliopsida; Ceratonia siliqua L.; Olea europaea L.; Pinus pinea L.; Quercus suber L.; 
2013,2013-06-07,Faro,Tavira,Tavira (Santa Maria),VALE CARANGUEJO,37.2070440000958,-7.66414699978299,Desconhecida,109.0,2013-06-07T12:00,21.1,38,6.2,19.2,0.0,0.0,0.0,0.0,1,1018.5,1005.7,23,0,39,0,0.54,1.55,16.6,21.2,268,269,38.2,25.5,21.2,20.5,17.1,0.127,0.184,0.254,0.258,1,3600.0,858.3,666.2,192.1,692.2,858.3,1278.0,840.0,652.0,188.0,692.2,840.0,1250.8,Magnoliopsida; Tracheophyta; Ceratonia siliqua L.
2013,2013-03-02,Faro,Vila Real de Santo António,Monte Gordo,MONTE GORDO,37.1817109998067,-7.44613599989149,Desconhecida,8.0,2013-03-02T17:00,15.2,62,8.0,12.6,0.0,0.0,0.0,0.0,1,1011.1,1010.1,48,5,24,97,0.14,0.65,14.2,22.7,114,113,22.0,14.6,11.7,12.2,15.0,0.178,0.185,0.166,0.121,1,3228.04,150.3,45.1,105.2,167.6,150.3,374.7,200.0,60.0,140.0,167.6,200.0,498.6,Tracheophyta; Pinus pinaster Aiton; Magnoliopsida; Pinus pinea L.
2013,2013-06-08,Faro,Tavira,Conceição,CONCEIÇAO DE TAVIRA,37.2091069995032,-7.59988800048828,Desconhecida,110.0,2013-06-08T16:00,19.4,54,9.8,17.6,0.0,0.0,0.0,0.0,3,1018.0,1005.0,84,30,95,0,0.28,1.03,11.8,15.8,297,300,28.8,22.6,20.4,19.9,16.9,0.158,0.203,0.272,0.295,1,3600.0,356.9,159.4,197.5,234.1,356.9,904.0,394.0,176.0,218.0,234.1,394.0,997.9,Magnoliopsida; Tracheophyta
2013,2013-06-08,Faro,Albufeira,Olhos de Água,Praia do Barranco,37.0926759995355,-8.18817999998728,Desconhecida,30.0,2013-06-08T17:00,18.7,63,11.4,16.1,0.0,0.0,0.0,0.0,1,1018.4,1014.8,50,32,35,0,0.29,0.81,21.2,28.6,305,306,42.8,23.2,20.6,20.0,17.0,0.115,0.179,0.258,0.29,1,3600.0,412.6,289.7,122.9,557.0,412.6,690.5,480.0,337.0,143.0,557.0,480.0,803.2,Magnoliopsida; Tracheophyta; Pinus pinea L.
2013,2013-06-13,Faro,Loulé,Ameixial,Pero Ponto,37.3111099995507,-7.92361000008053,Desconhecida,467.0,2013-06-13T11:00,27.6,31,8.8,27.1,0.0,0.0,0.0,0.0,0,1018.2,965.9,0,0,0,0,0.65,2.56,13.1,16.7,352,354,32.8,33.0,24.1,20.6,16.5,0.086,0.168,0.243,0.24,1,3600.0,906.4,784.4,122.0,859.8,906.4,1209.9,862.0,746.0,116.0,859.8,862.0,1150.6,Tracheophyta; Magnoliopsida; Quercus suber L.; Quercus rotundifolia Lam.; Pinus pinea L.; Eucalyptus L'Hér.; Olea europaea L.; Pinales; Pinus pinaster Aiton; 
2013,2013-06-14,Faro,Albufeira,Olhos de Água,Monte da Balaia,37.0960910002391,-8.17864800029331,Desconhecida,45.0,2013-06-14T07:00,18.7,72,13.6,17.6,0.0,0.0,0.0,0.0,0,1017.0,1011.7,0,0,0,0,0.11,0.59,15.2,21.6,356,359,29.5,20.5,23.3,20.3,17.1,0.104,0.173,0.251,0.289,1,3600.0,225.2,145.9,79.3,448.3,225.2,431.6,159.0,103.0,56.0,448.3,159.0,304.7,Tracheophyta; Magnoliopsida; Pinus pinea L.
2013,2013-03-01,Faro,Tavira,Tavira (Santa Maria),Vale Caranguejo,37.2070440000958,-7.66414699978299,Desconhecida,109.0,2013-03-01T09:00,8.1,76,4.1,5.4,0.0,0.0,0.0,0.0,0,1017.6,1004.2,0,0,0,0,0.09,0.26,8.4,15.0,310,312,18.7,8.3,9.1,12.4,15.1,0.291,0.302,0.299,0.249,1,3600.0,324.7,246.5,78.2,673.0,324.7,510.6,245.0,186.0,59.0,673.0,245.0,385.2,Magnoliopsida; Tracheophyta; Ceratonia siliqua L.
