index,index.1,latitude,longitude,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,fwix,ffmc,dmc,dc,isi,bui
2231,2231,40.31634,-7.2151794,584.0,2009-06-10 00:00:00,12.9,88,11.0,12.1,0.0,0.0,0.0,0.0,2,1019.8,951.5,62,35,0,100,0.0,0.18,7.7,15.6,221,230,17.3,13.7,16.2,16.8,13.0,0.248,0.205,0.248,0.321,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2230,2230,40.31634,-7.2151794,584.0,2009-06-10 01:00:00,12.1,91,10.6,11.2,0.0,0.0,0.0,0.0,2,1019.8,951.3,75,52,0,93,0.0,0.13,7.0,14.3,215,225,15.8,13.2,16.0,16.8,13.0,0.248,0.205,0.248,0.321,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2229,2229,40.31634,-7.2151794,584.0,2009-06-10 02:00:00,11.5,93,10.4,10.7,0.0,0.0,0.0,0.0,2,1019.7,951.1,73,70,0,32,0.0,0.1,6.4,12.5,207,219,14.4,12.8,15.8,16.8,13.0,0.248,0.205,0.248,0.321,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2228,2228,40.31634,-7.2151794,584.0,2009-06-10 03:00:00,10.8,95,10.1,9.9,0.0,0.0,0.0,0.0,2,1019.6,950.9,73,77,0,14,0.0,0.06,6.0,12.0,197,213,13.0,12.2,15.6,16.8,13.0,0.248,0.205,0.248,0.321,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2227,2227,40.31634,-7.2151794,584.0,2009-06-10 04:00:00,10.1,98,9.7,9.0,0.0,0.0,0.0,0.0,3,1020.1,951.2,81,73,0,50,0.0,0.03,6.6,12.1,193,210,12.2,11.6,15.4,16.7,13.0,0.248,0.205,0.248,0.321,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2226,2226,40.31634,-7.2151794,584.0,2009-06-10 05:00:00,9.5,99,9.3,8.4,0.0,0.0,0.0,0.0,3,1020.2,951.1,100,96,1,81,0.0,0.02,6.2,11.6,190,210,12.2,11.1,15.2,16.7,13.0,0.248,0.206,0.248,0.321,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2225,2225,40.31634,-7.2151794,584.0,2009-06-10 06:00:00,10.2,99,10.0,9.0,0.0,0.0,0.0,0.0,3,1020.7,951.7,100,92,6,55,0.0,0.02,8.0,11.2,207,213,13.7,11.5,15.0,16.7,13.0,0.248,0.206,0.248,0.321,1,1680.08,43.0,20.0,23.0,167.5,43.0,102.0,93.2,43.3,49.8,260.2,60.0,221.0,,,,,,
2224,2224,40.31634,-7.2151794,584.0,2009-06-10 07:00:00,12.8,90,11.2,11.9,0.0,0.0,0.0,0.0,3,1021.1,952.7,96,100,4,13,0.06,0.15,8.7,11.7,210,214,21.2,13.6,15.0,16.7,13.0,0.247,0.206,0.248,0.321,1,988.99,109.0,24.0,85.0,93.0,109.0,342.6,147.7,32.5,115.1,93.0,147.7,464.1,,,,,,
2223,2223,40.31634,-7.2151794,584.0,2009-06-10 08:00:00,14.0,83,11.2,12.9,0.0,0.0,0.0,0.0,2,1021.4,953.3,78,84,2,3,0.12,0.27,10.0,12.7,206,209,23.8,15.1,15.0,16.7,13.0,0.247,0.206,0.248,0.321,1,2026.06,231.0,56.0,175.0,127.5,231.0,582.7,276.9,67.1,209.8,127.5,276.9,698.5,,,,,,
2222,2222,40.31634,-7.2151794,584.0,2009-06-10 09:00:00,15.6,76,11.5,14.2,0.0,0.0,0.0,0.0,2,1021.4,953.6,59,66,0,0,0.22,0.42,12.9,16.3,210,211,29.5,17.0,15.2,16.7,13.0,0.245,0.206,0.248,0.321,1,3600.0,416.0,171.0,245.0,281.6,416.0,806.0,468.7,192.7,276.0,281.6,468.7,908.1,,,,,,
2221,2221,40.31634,-7.2151794,584.0,2009-06-10 10:00:00,17.6,69,11.8,16.6,0.0,0.0,0.0,0.0,2,1021.9,954.5,79,84,6,0,0.35,0.62,13.5,17.1,214,215,33.1,19.1,15.4,16.6,13.0,0.243,0.206,0.248,0.321,1,3600.0,635.0,418.0,217.0,556.3,635.0,997.2,686.9,452.2,234.7,556.3,686.9,1078.8,,,,,,
