index,latitude,longitude,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,fwix,ffmc,dmc,dc,isi,bui
2207,39.824253,-8.147614,364.0,2020-01-12 00:00:00,2.5,86,0.4,-0.4,0.0,0.0,0.0,0.0,0,1032.4,987.0,0,0,0,0,0.0,0.1,5.2,5.4,74,90,10.8,5.8,8.2,10.2,14.2,0.302,0.322,0.375,0.384,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2206,39.824253,-8.147614,364.0,2020-01-12 01:00:00,2.5,85,0.2,-0.3,0.0,0.0,0.0,0.0,0,1032.2,986.9,0,0,0,0,0.0,0.11,4.9,6.4,73,106,11.5,5.2,8.0,10.2,14.2,0.302,0.322,0.375,0.384,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2205,39.824253,-8.147614,364.0,2020-01-12 02:00:00,2.2,86,0.1,-0.6,0.0,0.0,0.0,0.0,0,1032.0,986.6,0,0,0,0,0.0,0.1,4.6,5.6,72,117,10.4,4.8,7.9,10.2,14.1,0.302,0.322,0.375,0.384,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2204,39.824253,-8.147614,364.0,2020-01-12 03:00:00,2.0,87,0.1,-0.8,0.0,0.0,0.0,0.0,0,1032.1,986.7,0,0,0,0,0.0,0.09,4.7,5.4,67,110,10.1,4.4,7.7,10.2,14.1,0.302,0.322,0.375,0.384,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2203,39.824253,-8.147614,364.0,2020-01-12 04:00:00,1.6,89,-0.0,-1.2,0.0,0.0,0.0,0.0,0,1031.8,986.3,0,0,0,0,0.0,0.07,4.3,5.2,66,102,10.1,4.1,7.5,10.2,14.1,0.303,0.322,0.375,0.384,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2202,39.824253,-8.147614,364.0,2020-01-12 05:00:00,1.1,91,-0.2,-1.7,0.0,0.0,0.0,0.0,0,1031.6,986.1,0,0,0,0,0.0,0.06,4.6,5.2,72,106,10.1,3.8,7.3,10.2,14.1,0.303,0.322,0.375,0.384,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2201,39.824253,-8.147614,364.0,2020-01-12 06:00:00,0.8,92,-0.4,-2.1,0.0,0.0,0.0,0.0,0,1031.6,986.0,0,0,0,0,0.0,0.05,4.7,5.2,67,106,10.4,3.6,7.1,10.2,14.1,0.303,0.322,0.374,0.383,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2200,39.824253,-8.147614,364.0,2020-01-12 07:00:00,0.6,92,-0.5,-2.3,0.0,0.0,0.0,0.0,0,1032.0,986.4,0,0,0,0,0.0,0.05,4.7,4.3,67,95,10.8,3.3,7.0,10.2,14.1,0.303,0.322,0.374,0.383,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2199,39.824253,-8.147614,364.0,2020-01-12 08:00:00,0.4,93,-0.6,-2.5,0.0,0.0,0.0,0.0,0,1032.3,986.6,0,0,0,0,0.0,0.05,4.5,3.9,61,34,10.8,3.1,6.8,10.2,14.1,0.303,0.322,0.374,0.383,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,,,,,,
2198,39.824253,-8.147614,364.0,2020-01-12 09:00:00,3.1,88,1.2,0.2,0.0,0.0,0.0,0.0,0,1033.0,987.7,0,0,0,0,0.01,0.09,6.4,6.1,63,360,13.3,3.5,6.6,10.2,14.1,0.303,0.322,0.374,0.383,1,2193.21,64.0,41.0,23.0,334.6,64.0,127.2,121.5,77.9,43.7,455.6,89.3,241.6,,,,,,
