index,latitude,longitude,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant
2231,39.964848,-7.4161987,370.0,2019-05-25T00:00,18.9,37,3.9,14.4,0.0,0.0,0.0,0.0,0,1017.4,974.5,0,0,0,0,0.15,1.37,20.7,36.4,17,20,44.6,19.9,20.9,17.3,13.8,0.141,0.191,0.222,0.313,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2230,39.964848,-7.4161987,370.0,2019-05-25T01:00,17.7,38,3.1,13.1,0.0,0.0,0.0,0.0,0,1017.8,974.7,0,0,0,0,0.15,1.26,21.1,37.1,20,24,41.8,19.4,20.8,17.3,13.8,0.141,0.191,0.222,0.313,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2229,39.964848,-7.4161987,370.0,2019-05-25T02:00,16.5,43,3.8,12.1,0.0,0.0,0.0,0.0,0,1018.1,974.8,0,0,0,0,0.12,1.08,20.1,35.1,21,24,41.4,18.9,20.7,17.3,13.8,0.141,0.191,0.222,0.313,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2228,39.964848,-7.4161987,370.0,2019-05-25T03:00,15.4,49,4.8,11.3,0.0,0.0,0.0,0.0,0,1018.3,974.8,9,0,0,29,0.1,0.89,19.7,34.1,21,25,39.6,18.3,20.5,17.3,13.8,0.141,0.191,0.222,0.313,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2227,39.964848,-7.4161987,370.0,2019-05-25T04:00,14.6,56,5.9,10.6,0.0,0.0,0.0,0.0,1,1018.6,975.0,25,0,0,82,0.08,0.73,20.0,34.3,23,27,38.9,17.7,20.3,17.3,13.8,0.141,0.191,0.222,0.313,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2226,39.964848,-7.4161987,370.0,2019-05-25T05:00,14.0,60,6.2,10.2,0.0,0.0,0.0,0.0,1,1019.2,975.5,26,0,0,85,0.07,0.65,19.1,33.3,20,25,38.9,17.2,20.1,17.3,13.8,0.141,0.191,0.222,0.313,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2225,39.964848,-7.4161987,370.0,2019-05-25T06:00,14.2,59,6.3,10.4,0.0,0.0,0.0,0.0,1,1019.8,976.1,22,0,0,73,0.09,0.67,20.0,33.8,18,22,39.2,16.8,19.9,17.3,13.8,0.141,0.191,0.222,0.313,1,485.09,30.0,11.0,19.0,100.6,30.0,86.8,67.4,24.7,42.7,169.0,40.1,195.0
2224,39.964848,-7.4161987,370.0,2019-05-25T07:00,15.6,53,6.0,11.5,0.0,0.0,0.0,0.0,0,1020.2,976.7,17,0,0,56,0.16,0.84,21.3,32.0,19,21,43.2,17.1,19.7,17.3,13.8,0.141,0.191,0.222,0.313,1,3600.0,173.0,104.0,69.0,433.8,173.0,319.8,240.4,144.5,95.9,433.8,240.4,444.4
2223,39.964848,-7.4161987,370.0,2019-05-25T08:00,17.6,45,5.6,13.6,0.0,0.0,0.0,0.0,0,1020.1,976.9,17,0,0,57,0.26,1.11,20.0,29.1,26,27,43.6,18.0,19.6,17.3,13.8,0.141,0.19,0.222,0.313,1,3600.0,365.0,268.0,97.0,631.7,365.0,565.8,441.4,324.1,117.3,631.7,441.4,684.2
2222,39.964848,-7.4161987,370.0,2019-05-25T09:00,19.8,38,5.0,15.9,0.0,0.0,0.0,0.0,0,1019.8,976.9,8,0,0,28,0.38,1.44,19.2,26.9,30,32,43.2,19.4,19.5,17.3,13.8,0.141,0.19,0.222,0.313,1,3600.0,559.0,444.0,115.0,745.7,559.0,794.1,632.4,502.3,130.1,745.7,632.4,898.3
